"id_photo","photo_imode","photo_web","photo_web2","photo_web3","photo_web4","photo_web_petit","vignette_carree"
"2390","photos/20080508-conseilcoiffure.jpg","photos/20080508-conseilcoiffure_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080508-conseilcoiffure_petit.jpg"
"2391","photos/20080808-coiffeur.jpg","photos/20080808-coiffeur_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080808-coiffeur_petit.jpg"
"2392","photos/20081808-nathsimon.jpg","photos/20081808-nathsimon_grand.jpg",NULL,NULL,NULL,NULL,"photos/20081808-nathsimon_petit.jpg"
"2393","photos/20081310-masque.jpg","photos/20081310-masque_grand.jpg",NULL,NULL,NULL,NULL,"photos/20081310-masque_petit.jpg"
"2394","photos/20081310-mechesrock.jpg","photos/20081310-mechesrock_grand.jpg",NULL,NULL,NULL,NULL,"photos/20081310-mechesrock_petit.jpg"
"2395","photos/20081410-shopping.jpg","photos/20081410-shopping_grand.jpg",NULL,NULL,NULL,NULL,"photos/20081410-shopping_petit.jpg"
"2396","photos/20082208-mode50.jpg","photos/20082208-mode50_grand.jpg",NULL,NULL,NULL,NULL,"photos/20082208-mode50_petit.jpg"
"2397","photos/20092708-coupe.jpg","photos/20092708-coupe_grand.jpg",NULL,NULL,NULL,NULL,"photos/20092708-coupe_petit.jpg"
"2398","photos/20082808-coiffure.jpg","photos/20082808-coiffure_grand.jpg",NULL,NULL,NULL,NULL,"photos/20082808-coiffure_petit.jpg"
"2399","photos/20080109-frange.jpg","photos/20080109-frange_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080109-frange_petit.jpg"
"2400","photos/20080109-meches.jpg","photos/20080109-meches_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080109-meches_petit.jpg"
"2401","photos/20080309-cheveux.jpg","photos/20080309-cheveux_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080309-cheveux_petit.jpg"
"2402","photos/20080309-dodo.jpg","photos/20080309-dodo_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080309-dodo_petit.jpg"
"2403","photos/2008-choix.jpg","photos/2008-choix_grand.jpg",NULL,NULL,NULL,NULL,"photos/2008-choix_petit.jpg"
"2404","photos/20081809-coiffures.jpg","photos/20081809-coiffures_grand.jpg",NULL,NULL,NULL,NULL,"photos/20081809-coiffures_petit.jpg"
"2405","photos/20081809-stylemary.jpg","photos/20081809-stylemary_grand.jpg",NULL,NULL,NULL,NULL,"photos/20081809-stylemary_petit.jpg"
"2406","photos/20082008-mamanfille.jpg","photos/20082008-mamanfille_grand.jpg",NULL,NULL,NULL,NULL,"photos/20082008-mamanfille_petit.jpg"
"2407","photos/20081706-coupecheveux.jpg","photos/20081706-coupecheveux1_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080512-cheveuxepais_petit.jpg"
"2408","photos/20082609-manteau.jpg","photos/20082609-manteau_grand.jpg",NULL,NULL,NULL,NULL,"photos/20082609-manteau_petit.jpg"
"2409","photos/20082909-cheveuxboucles.jpg","photos/20082909-cheveuxboucles_grand.jpg",NULL,NULL,NULL,NULL,"photos/20082909-cheveuxboucles_petit.jpg"
"2410","photos/20080310-coupe.jpg","photos/20080310-coupe_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080310-coupe_petit.jpg"
"2411","photos/20080310-epaulescuisses.jpg","photos/20080310-epaulescuisses_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080310-epaulescuisses_petit.jpg"
"2412","photos/20080610-ovale.jpg","photos/20080610-ovale_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080610-ovale_petit.jpg"
"2413","photos/20080610-tonsurton.jpg","photos/20080610-tonsurton_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080610-tonsurton_petit.jpg"
"2414","photos/20080810-coiffure.jpg","photos/20080810-coiffure_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080810-coiffure_petit.jpg"
"2415","photos/20081610-carreplongeant.jpg","photos/20081610-carreplongeant_grand.jpg",NULL,NULL,NULL,NULL,"photos/20081610-carreplongeant_petit.jpg"
"2416","photos/20082010-conseilsgrosse.jpg","photos/20082010-conseilsgrosse_grand.jpg",NULL,NULL,NULL,NULL,"photos/20082010-conseilsgrosse_petit.jpg"
"2418","photos/20082910-coiffure.jpg","photos/20082910-coiffure_grand.jpg",NULL,NULL,NULL,NULL,"photos/20082910-coiffure_petit.jpg"
"2432","photos/20081612-coiffure.jpg","photos/20081612-coiffure_grand.jpg",NULL,NULL,NULL,NULL,"photos/20081612-coiffure_petit.jpg"
"2419","photos/20080511-coupebeaute.jpg","photos/20080511-coupebeaute_grand.jpg",NULL,NULL,NULL,NULL,"photos/20080511-coupebeaute_petit.jpg"
"2420","photos/20072012-boucles.jpg","photos/20072012-boucles_grand.jpg",NULL,NULL,NULL,NULL,"photos/20072012-boucles_petit.jpg"
