"id_photo","photo_imode","photo_web","photo_web2","photo_web3","photo_web4","photo_web_petit","vignette_carree"
"1","photos/sauce.jpg","photos/20091803-saucelight_grand.jpg",NULL,NULL,NULL,"photos/20091803-saucelight_petit.jpg",NULL
"2","photos/patessaumonasperges.jpg","photos/20091803-patesasperges_grand.jpg",NULL,NULL,NULL,"photos/20091803-patesasperges_petit.jpg",NULL
"3","photos/quichebrocolisaumon.jpg","photos/quichebrocolisaumon_grand.jpg",NULL,NULL,NULL,"photos/quichebrocolisaumon_petit.jpg",NULL
"4","photos/tartechevre.jpg","photos/tartechevre_grand.jpg",NULL,NULL,NULL,"photos/tartechevre_petit.jpg",NULL
"5","photos/cakefigue.jpg","photos/cakefigue_grand.jpg",NULL,NULL,NULL,"photos/cakefigue_petit.jpg",NULL
"6","photos/bruchetta.jpg","photos/bruchetta_grand.jpg",NULL,NULL,NULL,"photos/bruchetta_petit.jpg",NULL
"7","photos/biscuitscookies.jpg","photos/biscuitscookies_grand.jpg",NULL,NULL,NULL,"photos/biscuitscookies_petit.jpg",NULL
"8","photos/coeurchoco.jpg","photos/coeurchoco_grand.jpg",NULL,NULL,NULL,"photos/coeurchoco_petit.jpg",NULL
"9","photos/doradecitron.jpg","photos/doradecitron_grand.jpg",NULL,NULL,NULL,"photos/doradecitron_petit.jpg",NULL
"10","photos/saladegrecque.jpg","photos/saladegrecque_grand.jpg",NULL,NULL,NULL,"photos/saladegrecque_petit.jpg",NULL
"11","photos/saladenicoise.jpg","photos/saladenicoise_grand.jpg",NULL,NULL,NULL,"photos/saladenicoise_petit.jpg",NULL
"12","photos/carpaccio.jpg","photos/carpaccio_grand.jpg",NULL,NULL,NULL,"photos/carpaccio_petit.jpg",NULL
"13","photos/recette1.jpg","photos/recette1_grand.jpg",NULL,NULL,NULL,"photos/recette1_petit.jpg",NULL
"14","photos/recette2.jpg","photos/recette2_grand.jpg",NULL,NULL,NULL,"photos/recette2_petit.jpg",NULL
"15","photos/thonratatouille.jpg","photos/thonratatouille_grand.jpg",NULL,NULL,NULL,"photos/thonratatouille_petit.jpg",NULL
"16","photos/saintjacques.jpg","photos/saintjacques_grand.jpg",NULL,NULL,NULL,"photos/saintjacques_petit.jpg",NULL
